PLAN_REVENUE_AMT,DISCONNECT_REASON_NAME,Disconnect Reason,GROSS_ADDS_COUNT,CPE_COUNT,WINBACK_ADD_COUNT,SERVICE_TYPE,TTL_FEAT_COUNT,FBNP_FLAG,ACTIVE_PHONE_FLAG,RETURNS_COUNT,TRANSFER_COUNT,DATA_USED_1MONTH,DATA_USED_2MONTH,DATA_USED_3MONTH,DATA_USED_4MONTH,DATA_USED_5MONTH,DATA_USED_6MONTH,DATA_USED_7MONTH,DATA_USED_8MONTH,DATA_USED_9MONTH,DATA_USED_10MONTH,DATA_USED_11MONTH,DATA_USED_12MONTH,DATA_1MONTH_TO_DEACT,DATA_2MONTH_TO_DEACT,DATA_3MONTH_TO_DEACT,NUM_IVR_CALLS,AVG_IVR_DURATION,CALL_1MONTH_TO_DEACT,CALL_2MONTHS_TO_DEACT,CALL_3MONTHS_TO_DEACT,CALLS_1MONTH,CALLS_2MONTH,CALLS_3MONTH,CALLS_4MONTH,CALLS_5MONTH,CALLS_6MONTH,CALLS_7MONTH,CALLS_8MONTH,CALLS_9MONTH,CALLS_10MONTH,CALLS_11MONTH,CALLS_12MONTH,NUM_DROPPED_CALLS,AVG_CALL_DURATION,DROP_CALLS_1MONTH_TO_DEACT,DROP_CALLS_2MONTHS_TO_DEACT,DROP_CALLS_3MONTHS_TO_DEACT,DROP_CALLS_1MONTH,DROP_CALLS_2MONTH,DROP_CALLS_3MONTH,DROP_CALLS_4MONTH,DROP_CALLS_5MONTH,DROP_CALLS_6MONTH,DROP_CALLS_7MONTH,DROP_CALLS_8MONTH,DROP_CALLS_9MONTH,DROP_CALLS_10MONTH,DROP_CALLS_11MONTH,DROP_CALLS_12MONTH,MESSAGES_SENT_1MONTH,MESSAGES_SENT_2MONTH,MESSAGES_SENT_3MONTH,MESSAGES_SENT_4MONTH,MESSAGES_SENT_5MONTH,MESSAGES_SENT_6MONTH,MESSAGES_SENT_7MONTH,MESSAGES_SENT_8MONTH,MESSAGES_SENT_9MONTH,MESSAGES_SENT_10MONTH,MESSAGES_SENT_11MONTH,MESSAGES_SENT_12MONTH,SMS_1MONTH_TO_DEACT,SMS_2MONTH_TO_DEACT,SMS_3MONTH_TO_DEACT,TOTAL_CALLS_MADE_1MONTH,TOTAL_CALLS_MADE_2MONTH,TOTAL_CALLS_MADE_3MONTH,TOTAL_CALLS_MADE_4MONTH,TOTAL_CALLS_MADE_5MONTH,TOTAL_CALLS_MADE_6MONTH,TOTAL_CALLS_MADE_7MONTH,TOTAL_CALLS_MADE_8MONTH,TOTAL_CALLS_MADE_9MONTH,TOTAL_CALLS_MADE_10MONTH,TOTAL_CALLS_MADE_11MONTH,TOTAL_CALLS_MADE_12MONTH,TOTAL_MINUTES_1MONTH,TOTAL_MINUTES_2MONTH,TOTAL_MINUTES_3MONTH,TOTAL_MINUTES_4MONTH,TOTAL_MINUTES_5MONTH,TOTAL_MINUTES_6MONTH,TOTAL_MINUTES_7MONTH,TOTAL_MINUTES_8MONTH,TOTAL_MINUTES_9MONTH,TOTAL_MINUTES_10MONTH,TOTAL_MINUTES_11MONTH,TOTAL_MINUTES_12MONTH,CALLS_1MONTH_TO_DEACT,CALLS_2MONTH_TO_DEACT,CALLS_3MONTH_TO_DEACT,SUB_DISC_REASON,SUB_ACTIVE_PHONE_COUNT,q,ETHNICITY,ABP,EBILL,SUB_LPAY_AMT,SUB_COMP_NAME,BUNDLE_STATUS,DISTINCT_FEATURE_COUNT,HOTLINE_FLAG,NUM_PAYMENTS,CHECK_PAYMENTS,CASH_PAYMENTS,CC_PAYMENTS,COUPON_ADJUSTMENTS,churned,tenure,RATE_PLAN_NAME,prev_rate_plan,prev_rev_amt,hh_income,bundle,never_before_cricket,fbnp,autobillpay,ebilling,hotline,total_data,total_messages,total_minutes,total_drop_calls,management_occ,technical_occ,professinal_occ,sales_occ,officeadmin_occ,bluecollar_occ,farmer_occ,other_occ,retired_occ,Num_Adults_in_LU,Religious_Magazine,Occupation
50,0,1,0,0,0,Voice Service,12,N,A,0,0,954351641,969473123,2166556298,1347405886,3612503062,3635360439,1963721805,2691873094,0,0,0,0,0,0,0,21,83.14285714,0,0,0,0,0,0,1,0,0,8,0,2,0,0,4,77,301.025974,0,0,0,0,0,0,0,0,0,2,2,0,0,0,39,1830,2370,1696,1402,1918,2019,556,556,738,0,0,0,0,0,0,379,339,297,514,388,289,407,407,270,0,0,0,684.186,609.234,710.669,982.833,833.815,530.099,662.835,662.835,608.118,0,0,0,0,0,0,0,2,PREPAY,White,N,N,108,0,N,13,N,51,2,76,2,0,0,229,Muve Smart (MVADR5),Android,55,14000,0,0,0,0,0,0,17341245348,13085,6284.624,43,0,0,1,0,0,0,0,0,0,4,0,3
60,0,1,1,1,1,Voice Service,4,N,A,1,1,414463610,1089635283,575437279,0,0,0,0,0,0,0,0,0,0,0,0,5,124.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2713,2459,1207,0,0,0,0,0,0,0,0,0,0,0,0,281,171,81,3,0,0,0,0,0,0,0,0,561.034,327.916,132.766,2.217,0,0,0,0,0,0,0,0,0,0,0,0,1,ACTIVE,African_American,N,N,49.75,0,N,12,N,41,20,8,56,0,0,278,Muve Smart (MVADR3),Blackberry,55,45000,0,0,0,0,0,0,2079536172,6379,1023.933,0,0,0,0,1,0,0,0,0,0,1,0,4
55,0,1,1,0,0,Voice Service,6,N,A,0,0,823105,1178476,2730597,51578367,97290114,365853075,253834409,228384394,343659822,179322437,351065457,0,0,0,0,18,70.61111111,0,0,0,1,0,0,3,0,0,0,0,1,0,0,5,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,11,10,16,16,46,6,0,0,0,0,0,287,457,238,296,339,376,194,194,50,273,248,0,509.949,924.316,522.42,652.502,773.037,744.032,361.4,361.4,65.468,583.151,363.251,0,0,0,0,0,3,ACTIVE,Hispanic,N,N,170.21,0,N,15,N,44,14,245,35,0,0,320,Smart (IPHONE3),True Rate $45,45,14000,0,0,0,0,0,0,1875720253,113,5860.926,0,0,1,0,0,0,0,0,0,0,2,0,2
50,0,1,1,0,0,Voice Service,11,N,A,0,0,4147159291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,85.25,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,127,93.95275591,0,0,0,0,4,0,0,0,1,8,0,2,0,3,103,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,746,0,0,0,0,0,0,0,0,0,0,0,1111.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,ACTIVE,White,N,N,26,0,Y,13,N,53,44,80,12,0,0,21,Muve Smart (MVADR5),True Rate $45,45,62000,1,0,0,0,0,0,4147159291,205,1111.8,121,0,0,1,0,0,0,0,0,0,2,0,3
45,0,1,0,0,0,Voice Service,15,N,A,0,0,39870491,43889941,39693165,160106613,709656843,521893355,203751474,482464674,381102409,0,0,0,0,0,0,151,150.4834437,0,0,0,9,1,4,1,3,11,4,8,5,0,7,79,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,373,181,224,439,225,522,522,376,0,0,0,0,0,0,508,554,550,645,527,637,513,513,494,0,0,0,1856.982,1895.715,1891.168,2060.204,1810.833,1538.331,1481.517,1481.517,1339.417,0,0,0,0,0,0,0,1,ACTIVE,Hispanic,Y,N,34.5,0,N,15,N,52,32,4,76,0,0,260,True Rate $45,Cricket Unlimited,30,45000,0,0,0,1,0,0,2582428965,3160,15355.684,0,0,0,0,0,0,0,0,0,1,3,0,9
35,0,1,1,0,0,Voice Service,7,N,A,0,0,518200000,122870000,15308661,201962,0,0,0,0,0,0,0,0,0,39919,0,0,67.85714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,8,9,8,3,0,0,0,0,0,0,0,0,0,81,72,90,87,96,150,0,0,0,0,0,0,86.45,99.084,115.482,101.183,144.502,357.467,0,0,0,0,0,0,0,0,0,0,2,ACTIVE,White,N,N,66,0,N,7,N,28,0,112,0,0,0,172,Cricket All_In35 (35N),True Rate $35,35,130000,0,0,0,0,0,0,656580623,36,904.168,0,1,0,0,0,0,0,0,0,0,3,0,1
50,0,1,0,0,0,Unknown,9,N,A,0,0,1599660413,899315418,1343772109,1742809945,1599350259,1299886046,1064804362,449076282,588831881,3383054240,978965697,172724569,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2401,1735,887,1175,1092,1070,1102,1102,1119,872,594,0,0,0,0,119,104,81,87,57,102,77,77,84,56,5,0,78.703,51.336,27.118,48.333,18.518,66.148,32.733,32.733,44.353,44.468,2.966,0,0,0,0,0,5,ACTIVE,Hispanic,N,N,228.4,0,N,11,N,26,0,180,0,0,0,328,Muve Smart (MVADR5),Cricket True_Rate35 (3V5),35,25000,0,0,0,0,0,0,15122251221,13149,447.409,3,0,0,0,0,0,0,0,0,1,3,0,9
35,TRANSFER,28,1,0,0,Unknown,8,N,I,0,0,518200000,122870000,15308661,201962,0,0,0,0,0,0,0,0,0,39919,0,4,18.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,182,52,1,0,0,0,0,0,0,0,0,0,0,0,281,171,81,3,0,0,0,0,0,0,0,0,561.034,327.916,132.766,2.217,0,0,0,0,0,0,0,0,0,0,0,TR,2,DISC,Other,N,N,-5.38,0,N,8,N,34,0,40,0,0,1,0,Cricket All_In35 (35N),Smart (ADR5),50,35000,0,1,0,0,0,0,656580623,506,1023.933,0,1,0,0,0,0,0,0,0,0,5,0,1
50,BM,4,0,1,0,Voice Service,11,N,I,0,0,124294833,0,0,0,0,0,0,0,0,0,0,0,50334016,0,0,7,171.5714286,0,0,0,1,0,1,0,0,1,0,1,2,1,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,281,171,81,3,0,0,0,0,0,0,0,0,561.034,327.916,132.766,2.217,0,0,0,0,0,0,0,0,0,0,0,BM,2,DISC,White,N,N,115.16,0,N,15,N,39,0,76,0,0,1,0,Smart (ADR5),Android,55,25000,0,0,0,0,0,0,124294833,8,1023.933,0,0,0,1,0,0,0,0,0,0,3,0,3
35,0,1,0,1,0,Unknown,7,N,A,0,0,17387578,17515322,14620425,17998229,5353594,16934557,22720080,22592499,16255363,17845764,8195660,0,0,0,0,29,24.82758621,0,0,0,1,2,1,2,5,1,2,1,1,1,1,1,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476,1054,1439,521,82,129,124,124,131,72,7,0,0,0,0,124,179,270,214,150,85,117,117,117,32,1,0,229.583,511.368,374.784,260.333,309.649,125.15,225.669,225.669,180.084,41.783,0.083,0,0,0,0,0,2,ACTIVE,White,N,N,72.52,0,N,7,N,28,0,96,0,0,0,305,Cricket All_In35 (35N),Cricket True_Rate30 (3V0),30,35000,0,0,0,0,0,0,177419071,4159,2484.155,0,1,0,0,0,0,0,0,0,0,2,0,1
